지침내용,공사종류,지침유형
시스템 동바리 조립?해체 작업은 작업단계별 유해·위험요인을 파악하고 유해·위험요인을 도출하여 감소대책을 수립하는 등 위험성평가를 실시 하여야 한다.,가설구조물,위험 경고
"시스템 동바리를 조립하는 경우에는 그 구조를 검토한 후 조립도를 작성하고, 조립도에 따라 조립하여야 한다.",가설구조물,예방 조치
높이가 5m 이상이거나 발주자 또는 인ㆍ허가기관의 장이 필요하다고 인정하는 시스템 동바리는 관계전문가(건설기술진흥법 시행령 101조의2에 따른다)로부터 구조적 안전성을 확인받아야 한다,가설구조물,점검 사항
시스템 동바리 조립도에는 동바리·멍에 등 부재의 재질·단면규격·설치간격 및 이음방법 등을 명시하여야 한다.,가설구조물,예방 조치
시스템 동바리 조립ㆍ해체 작업 근로자는 특별안전교육을 실시하여야 한다.,가설구조물,예방 조치
"시스템 동바리 조립ㆍ해체 작업 근로자는 개인보호구(안전모, 안전대, 안전화 등)를 올바르게 착용하여야 한다.",가설구조물,예방 조치
시스템 동바리 조립?해체 및 변경 작업은 관리감독자의 지휘에 따라 작업하여야 한다.,가설구조물,예방 조치
"관리감독자는 재료의 결함유무를 점검과 불량품 제거, 기구?공구?안전대 및 안전모 등의 점검과 불량품 제거, 작업방법 및 근로자 배치 및 작업 진행 상황, 안전대와 안전모 등의 착용 상태, 악천후로 인하여 근로자가 위험해질 우려가 있는 경우 작업 중지 등의 업무를 수행하여야 한다.",가설구조물,예방 조치
"시스템 동바리 재료는 안전인증제품 여부를 확인하고, 재사용하는 시스템 동바리는 품질을 확인하여야 한다.",가설구조물,점검 사항
시스템 동바리 재료는 변형·부식 또는 심하게 손상된 것을 사용해서는 아니 된다.,가설구조물,점검 사항
"시스템 동바리 재료를 하역·운반하는 크레인 등의 장비는 제조사의 매뉴얼 과 인양능력표를 확인하여 정격하중 등을 준수하고, 크레인 운전원의 자격, 자동차검사증, 보험가입 여부를 확인하고, 운전원과 근로자가 보기 쉬운 곳에 해당 장비의 정격하중, 경고표시 등을 부착하여야 한다.",가설구조물,예방 조치
"시스템 동바리 조립 작업은 작업단계별 유해·위험요인을 도출하고, 감소 대책을 수립하여 이행하는 등 위험성평가를 실시하여야 한다.",가설구조물,위험 경고
시스템 동바리 조립은 조립 장소에 조립도를 비치하여 구조적 안전성이 확보되도록 조립도에 따라 견고하게 조립하여야 한다.,가설구조물,예방 조치
"시스템 동바리 수직재는 전용 연결철물을 사용하여 견고하게 연결하고, 연결 부위가 탈락 또는 꺾어지지 않도록 설치하여야 한다.",가설구조물,예방 조치
"시스템 동바리 수평재는 수직재와 직각으로 설치하여 흔들리지 않도록 견고하게 설치하고, 슬라브 두께가 500mm 이상인 경우 첫 번째 수평재는 최상단 및 최하단으로부터 400mm 이하에 설치하거나, 해당 전문가의 안전확인을 받은 경우에는 구조검토 결과를 준수하여 설치하여야 한다.",가설구조물,예방 조치
시스템 동바리 최하단의 수직재와 받침철물 및 최상단 수직재와 U 헤드 잭 은 서로 밀착되도록 설치하여야 한다.,가설구조물,예방 조치
수직재와 받침철물(잭베이스)의 연결부의 겹침길이는 받침철물 전체길이의 3분의 1 이상이 되도록 설치하여야 한다.,가설구조물,예방 조치
"시스템 동바리 설치 높이는 단변길이의 3배이하로 설치하여야 한다, 다만 관계전문가에게 구조적 안전성을 확인받은 경우에는 그러하지 아니한다.",가설구조물,예방 조치
받침철물(잭 베이스)의 잭 스크류를 조절하여 수직재에 편심이 발생하지 않도록 수평을 유지하도록 설치하여야 한다.,가설구조물,예방 조치
받침철물(잭 베이스)을 경사진 바닥에 설치하는 경우에는 쐐기 등으로 바닥면이 수평을 유지하여 설치하여야 한다.,가설구조물,예방 조치
시스템 동바리의 U 헤드 폭은 멍에 또는 장선을 설치에 충분 한 폭 이상이어야 한다.,가설구조물,예방 조치
"장선 또는 멍에는 편심이 발생하지 않도록 U 헤드 중심축에 설치하고, 횡방향 이동 방지를 위하여 쐐기나 못 등으로 고정하여 설치하여야 한다.",가설구조물,예방 조치
시스템 동바리의 하부 지반은 상부하중에 견딜 수 있는 지내력을 확보 하여야 한다.,가설구조물,예방 조치
시스템 동바리 조립 작업 근로자의 수직·수평 이동통로와 작업발판과 추락방망 등 떨어짐 방지 조치를 설치하여야 한다.,가설구조물,예방 조치
시스템 동바리 조립·해체작업 근로자는 수직·수평 이동은 반드시 지정된 통로를 이용하고 안전대 착용하는 등 떨어짐을 방지 조치를 하여야 한다.,가설구조물,예방 조치
관리감독자는 시스템 동바리 조립을 완료한 다음 점검하여야 한다.,가설구조물,점검 사항
해체작업은 시기는 타설된 콘크리트가 충분한 강도 발현을 확인하고 작업 허가를 받아 실시하여야 한다.,가설구조물,예방 조치
"해체작업 근로자는 안전대의 착용 등 개인보호구를 올바르게 착용하여야 하며, 사업주는 근로자의 떨어짐 등 재해예방 안전 조치를 하여야 한다.",가설구조물,예방 조치
"시스템 동바리 해체작업은 작업전 작업발판 등에 부재, 공구 등이 없는지 확인하여야 한다.",가설구조물,점검 사항
시스템 동바리 해체작업은 조립의 역순으로 실시가 일반적이나 작업전 해체작업 계획을 근로자에게 교육하여야 한다.,가설구조물,예방 조치
해체작업은 작업 지휘자를 지정하고 작업 지휘자의 지시에 따라 작업을 실시하여야 한다.,가설구조물,예방 조치
해체작업 장소에는 출입금지주역을 설정하여 작업자 이외의 자가 임의로 작업장에 출입하지 않도록 감시자를 배치하여 통제하여야 한다.,가설구조물,예방 조치
"해체 부재는 동일한 규격별로 정리 정돈하여 하역은 이양장비 사용을 원칙으로 하며, 인력 하역은 달줄, 달포대 등을 사용하여야 한다. ",가설구조물,예방 조치
시스템비계 설치?해체 작업은 작업단계별 유해·위험요인을 파악하고 해당 유해·위험요인을 도출하여 감소대책의 수립 등 위험성평가를 실시하여야 한다.,가설구조물,위험 경고
"시스템 비계는 작업전 조립도(평면도, 입면도, 단면도, 연결 상세도 등)를 작성하고 조립도에 따라 조립하여야 한다.",가설구조물,예방 조치
"조립도에는 수직재와 수평재 및 벽이음, 승강통로 등의 조립 간격을 표기하여야 한다.",가설구조물,예방 조치
"해당 전문가의 안전확인을 받은 경우 시스템 비계는 설계 조건과 결과를 확인(작업조건, 하중조건, 풍하중, 수직보호망 충실률, 벽이음 간격 등)하여 조립하고 사용하여야 한다.",가설구조물,예방 조치
"시스템 비계의 재료는 안전인증제품을 사용하여야 하며, 변형?부식 또는 심하게 손상된 것을 사용해서는 아니되며 재사용 재료는 품질관리를 하여야 한다.",가설구조물,점검 사항
"조립ㆍ해체 또는 변경 작업은 작업내용을 보기 쉬운 장소에 게시하고, 작업 구역에는 해당 작업에 종사하는 근로자가 아닌 사람의 출입을 금지하여야 한다. ",가설구조물,위험 경고
신호수를 배치하는 경우 일정한 신호방법을 정하여 신호하도록 하여야 한다. ,가설구조물,예방 조치
비계 내부에서 근로자가 상하 또는 좌우로 이동하는 경우에는 반드시 지정된 통로를 이용하도록 주지시켜야 한다.,가설구조물,위험 경고
비계 작업 근로자는 같은 수직면상의 상·하 동시 작업을 금지시켜야 한다.,가설구조물,위험 경고
"근로자는 당해 작업에 적합한 개인보호구(안전모, 안전대, 안전화, 안전장갑 등)를 올바르게 착용하여야 한다.",가설구조물,예방 조치
"비, 눈 그 밖의 기상상태의 불안정으로 인하여 풍속이 초당 10 m 이상, 강우량이 시간당 1 mm 이상, 강설량이 시간당 1 cm 이상인 경우에는 조립 및 해체작업을 중지하여야 한다.",가설구조물,예방 조치
충전전로 또는 그 부근에서 비계 작업중 감전의 우려가 있는 경우에는 해당 전로를 차단하거나 해당 전압에 적합한 절연용 방호구를 설치하여야 한다. ,가설구조물,예방 조치
"다만, 저압인 경우 해당 근로자가 절연용 보호구를 착용하고, 충전전로에 접촉할 우려가 없는 경우에는 절연용 방호구를 설치하지 아니할 수 있다.",가설구조물,예방 조치
충전전로의 인근에서 자재 하역 등의 작업이 있는 경우에는 차량 등을 충전전로의 충전부로부터 300센티미터 이상 이격하여야 한다.,가설구조물,예방 조치
"자재하역·운반하는 이동식 크레인(카고 크레인)은 제조사의 장비매뉴얼과 인양능력표를 확인하여 정격하중 등을 준수하고, 크레인 운전원의 자격, 자동차검사증, 보험가입을 확인하여야 한다. ",가설구조물,점검 사항
"또한 운전자 또는 근로자가 보기 쉬운 곳에 해당 장비의 정격하중, 경고표시 등을 부착하여야 한다.",가설구조물,위험 경고
비계 설치?해체작업을 하는 경우에는 근로자로 하여금 안전대 착용 등 근로자의 떨어짐을 방지 조치를 하여야 한다.,가설구조물,예방 조치
시스템비계 부재에 의한 맞음 사고를 방지하기 위하여 재료?기구 또는 공구 등을 올리거나 내리는 경우에는 근로자가 달줄 또는 달포대를 사용하게 하여야 한다.,가설구조물,예방 조치
"비계 기둥의 밑둥에는 받침철물을 사용하여야 하며, 받침에 고저차가 있는 경우에는 조절형 받침철물을 사용하여 시스템비계가 항상 수평 및 수직을 유지하도록 하여야 한다.",가설구조물,예방 조치
"수직재와 받침철물은 밀착되도록 설치하고, 수직재와 받침철물의 연결부 겹침길이는 받침철물 전체길이의 3분의 1 이상이 되도록 하여야 한다.",가설구조물,예방 조치
"수평재는 수직재와 직각으로 설치하여야 하며, 체결 후 흔들림이 없도록 체결한 다음 망치로 2-3회 타격하여 확인하는 등 견고하게 설치하여야 한다.",가설구조물,예방 조치
수직재와 수직재는 연결철물이 이탈되지 않도록 견고하게 설치하여야 한다.,가설구조물,예방 조치
비계 내부에서 근로자가 상·하로 이동하는 경우에는 반드시 가설계단을 사용하도록 주지시켜야 한다.,가설구조물,위험 경고
비계 작업 근로자는 떨어질 위험이 있으므로 안전대 부착용 로프를 먼저 설치하고 안전대를 걸고 작업을 하도록 하여야 한다.,가설구조물,위험 경고
비계 작업 근로자는 같은 수직면상의 위와 아래 동시 작업은 금지하여야 한다.,가설구조물,위험 경고
해체작업 반경에는 관계 근로자가 아닌 사람의 출입을 금지하고 그 내용을 보기 쉬운 장소에 게시하여야 한다.,가설구조물,위험 경고
"해체작업 전에 시스템 비계와 벽 연결재와 안전난간 등의 부재 설치상태를 점검하고, 결함이 발생한 경우에는 정상적인 상태로 복구한 다음 해체하여야 한다.",가설구조물,점검 사항
해체작업을 하는 경우에는 근로자로 하여금 안전대를 사용하도록 하는 등 근로자의 떨어짐을 방지하기 위한 조치를 하여야 한다.,가설구조물,예방 조치
해체된 부재는 비계 위에 적재해서는 아니되며 지정된 위치에 보관하여야 한다.,가설구조물,예방 조치
"해체부재의 하역은 인양장비 사용을 원칙으로 하며, 인력 하역은 달줄, 달포대 등을 사용하여야 한다.",가설구조물,예방 조치
"비, 눈, 그 밖의 기상상태의 불안전으로 날씨가 몹시 나쁜 경우에는 그 작업을 중지하여야 한다.",가설구조물,예방 조치
시스템폼의 모든 구성 부재 및 부속품은 제작사의 정품을 사용하고 안전성을 확인 하여야 한다.,가설구조물,점검 사항
붉은 색 칠이 보이지 않을 때까지 클라이밍 콘과 스레디드 플레이트를 돌려서 체결하여야 한다.,가설구조물,점검 사항
"모든 앵커 자재, 특히 디비닥 타이로드는 용접 및 화기 접촉을 금지하여야 한다.",가설구조물,위험 경고
클라이밍 슈와 월 슈를 설치할 때 구조체와 유격이 없이 확실하게 조여졌는지 반드시 확인하여야 한다.,가설구조물,점검 사항
타설전 클라이밍 콘(스크류온 콘) 및 스레디드 플레이트는 정확히 체결하고 월 슈 고정시 고강도 육각볼트를 정확하게 체결하고 월 슈가 클라이밍 콘(스크류온 콘)에 정확히 체결되었는지 콘크리트 벽체면과 유격이 없는지 확인하여야 한다.,가설구조물,점검 사항
관통형의 앵커는 반대쪽의 카운트 플레이트가 정확히 체결되었는지 확인하여야 한다.,가설구조물,점검 사항
공장 제작 전에 설계도서를 정확히 검토하여 현장에서 보완하지 않도록 사전에 점검을 철저히 하여야 한다.,가설구조물,점검 사항
"거푸집에 작용하는 하중을 고려하여 시스템폼 전체 하중, 작업하중, 사용장비 하중 등을 고려하여 타워크레인의 양중능력 및 거푸집의 안전성 여부를 검토하여야 한다.",가설구조물,점검 사항
"구조물과 시스템폼, 시스템폼과 시스템폼의 작업발판 사이는 50mm이상 발생하지 않도록 하고 인양작업 시를 제외한 경우 항시 덮개로 막아져 있어야 하고 특히 모서리 부분이 벌어지지 않도록 반드시 입체적인 확인을 하여야 한다.",가설구조물,점검 사항
"시스템폼 탈형 시 작업발판, 비계틀, 레일, 슈(Shoe) 등이 서로 간섭받지 않도록 확인을 하여야 한다.",가설구조물,점검 사항
설계도서 검토에서 확인된 사항이 조립 시 규격 차이가 나는지 반드시 검측하여 오차가 발생하지 않도록 사전에 확인하여야 한다.,가설구조물,점검 사항
각종 볼트의 체결상태를 확인하고 모든 자재는 중량물이므로 취급 시 주의하여야 한다.,가설구조물,예방 조치
작업발판(목재널판)은 옹이가 많거나 비틀림이 심한 자재는 사용하여서는 안 된다.,가설구조물,예방 조치
"작업발판을 모두 설치한 다음 거푸집 슈가 발판을 통과할 수 있는지 개방부위를 확인하고, 크레인으로 인양하기 전에 다시 각종 볼트의 체결상태를 확인하여야 한다.",가설구조물,점검 사항
크레인 와이어와 인양고리 상태 확인 후 와이어는 앞쪽과 뒤쪽 각각 2개씩을 체결하여 인양하고 인양 시 와이어가 꼬이지 않도록 크레인 인양고리에 걸어야 한다.,가설구조물,예방 조치
작업자는 사전에 제작사의 시스템폼 기술과 안전교육을 받은 자만이 작업을 할 수 있고 설치 시에는 안전대를 착용하여야 한다.,가설구조물,예방 조치
"설치 전에 앵커 매립, 클라이밍 콘과 스레디드 플레이트의 위치는 정확한지 확인하여야 한다.",가설구조물,점검 사항
클라이밍 슈와 월 슈가 매립된 클라이밍 콘에 정확하고 긴밀하게 체결하였는지 확인한다.,가설구조물,점검 사항
매립된 앵커에 슈를 연결하기 위한 작업발판을 설치하고 인양하여 설치할 수 있는 크레인의 인양반경과 하중을 검토하여야 한다.,가설구조물,점검 사항
설치 전에 구조검토서에서 제시한 콘크리트 강도(최소 100Kgf/㎠이상)가 충분히 나오는지 반드시 확인하고 콘크리트 강도 및 거푸집 존치기간은 표준시방서를 준수하여야 한다.,가설구조물,점검 사항
"시스템 폼은 앵커볼트, 월슈, 클라이밍 슈, 콘크리트 강도 등에 의하여 지지되므로 제작도와 부위별 볼트위치, 볼트규격, 핀 등이 정확한 위치에 정확히 설치되었는지 확인과 측량을 하여 불완전한 상태가 발생하지 않도록 하여야 한다.",가설구조물,점검 사항
시스템폼은 대형거푸집으로 바람의 영향에 직접적으로 영향을 받으므로 인양 및 설치 시에는 본체만을 유도 로프를 이용하여 바람에 영향을 최소화하여야 한다.,가설구조물,예방 조치
"작업발판 위에 잡자재나 공구 등이 놓여있어 적재하중 증가, 거푸집 설치및 해체 시 서로 간섭, 낙하 등의 위험이 발생하지 않도록 깨끗이 치워야 한다.",가설구조물,예방 조치
" 유압 펌프 위에 이물질이나 잡자재, 공구 등이 놓여 있지 않아야 한다.",가설구조물,예방 조치
유압 펌프 선이나 전력 케이블 주위에 이물질이 있을 시는 즉시 제거하여야 한다.,가설구조물,위험 경고
전력선이나 소켓류가 파손되어 있는지 확인하고 파손 시 바로 교체하여야 한다.,가설구조물,점검 사항
유압 펌프의 오일양은 평균치를 일정하게 유지하고 수치 미만 시는 채워야 한다.,가설구조물,점검 사항
유압 펌프를 가동하지 않을 때에 마스터 스위치는 항상 꺼져 있도록(OFF) 하여야 한다.,가설구조물,점검 사항
유압호스나 커플러에 누유 상태는 확인 후 누유가 있을 시 즉시 교체 또는 수리를 한 후 사용하여야 한다.,가설구조물,점검 사항
유압 펌프에 이상이 발생한 때에는 즉시 전력을 차단하고 시스템폼 전문가에게 연락하여야 한다.,가설구조물,위험 경고
모든 작업자는 사전에 제작사의 시스템폼에 대하여 기술 및 안전교육을 받고 안전장비를 갖추고 작업을 하여야 한다.,가설구조물,예방 조치
"인양 시는 펌프공 1인과 발판상태 확인자 1인, 슈(Shoe) 진입확인자 1인 하여 모두 3인1조로 경험이 있는 숙련공이 인양작업을 하여야 한다.",가설구조물,예방 조치
본 작업 전에 거푸집과 구조물 사이에 힌지를 이용한 덮개를 설치하여 거푸집 설치·해체작업 시 낙하물이 발생하지 않도록 한다.,가설구조물,예방 조치
타이로드와 체결용 볼트에 용접이나 불을 가한 것은 사용하여서는 안 되며 스레디드 플레이트와 클라이밍 콘 체결을 정확히 하여야 한다.,가설구조물,점검 사항
작업발판 위의 수평 및 수직 개구부는 인양중이 아닐 때에는 덮개가 덮여 있어야 하고 사다리 및 계단을 안전하게 설치하여야 한다.,가설구조물,예방 조치
발판 위에 낙하할 수 있는 자재나 공구 등이 놓여 있거나 중량물이 한 곳에 집중하여 적재하여서는 안 된다.,가설구조물,예방 조치
발판과 발판사이와 발판과 구조체 사이는 안전한 덮개로 덮여 있어야 하고 발판이 심하게 쳐져서는 안 된다.,가설구조물,예방 조치
인양 전에 클라이밍 레일의 미끄러지는 부분은 깨끗하게 기름칠을 하여야 한다.,가설구조물,예방 조치
인양 전에 벽체의 폼타이는 모두 제거 되었는지 확인하고 콘크리트 타설용 발판(+1 레벨)에 작업자가 없어야 한다.,가설구조물,점검 사항
골조가 진행됨에 따라 거푸집이 선 인양되어 단부에 개구부가 발생한 상태에서 작업하는 일이 없도록 인양 작업계획을 세워야 한다.,가설구조물,예방 조치
철근 용접이나 동절기 보양 난로 등으로 불티가 거푸집 수직망 또는 보양천막에 인화하지 않도록 하고 현장에는 잘 보이는 장소에 소화기를 비치하고 비상시 사용 가능하도록 사용방법을 숙지 시켜야 한다.,가설구조물,예방 조치
안전난간대와 안전망은 손상된 것이 있는지 항상 확인하여야 한다.,가설구조물,점검 사항
운용작업을 할 수 있는 날씨조건을 사전에 확인하고 강풍이나 강우 시에는 각 부속품 및 시설물의 체결상태와 각 앵커 볼트 및 슈의 조임 상태를 확인하고 작업을 중지하여야 한다.,가설구조물,점검 사항
"강풍이 불어 온 후 다시 작업을 할 때에는 부재, 앵커 등 이상유무를 점검한 후 작업을 하여야 한다.",가설구조물,점검 사항
각종 볼트류 체결 상태를 확인하고 모든 자재는 중량물이므로 취급 시 주의하여야 한다.,가설구조물,점검 사항
시스템 특성에 맞도록 해체 작업계획서를 작성하고 해체 시는 발판에 낙하물을 제거하고 다른 거푸집과 다른 구조물에 간섭이 되거나 끼인 상태가 없도록 확인하여야 한다.,가설구조물,점검 사항
최상층 등 콘크리트 타설 작업이 완료된 상태와 건물 평면이 다른 상태에서 시스템폼 해체(탈형)시에는 반드시 타워크레인 인양로프로 거푸집 및 시스템폼의 인양고리에 안전하게 걸고 해체(탈형)작업을 하여야 한다.,가설구조물,예방 조치
 해체 작업 시 모든 발판의 부산물과 기타 부착물은 제거 상태를 확인하고 유도로프 2개소를 설치하여 작업반경내 안전거리를 유지하고 하부는 신호수를 배치하여 출입을 통제하여야 한다.,가설구조물,위험 경고
"크레인과 거푸집 및 시스템폼 인양고리 체결상태, 인양로프 등 해체 작업에 사용되는 모든 도구는 사전에 안전점검을 하고 해체 작업자는 시스템폼의 해체작업 안전교육을 받은 자가 작업을 하여야 한다.",가설구조물,점검 사항
각 시스템폼의 중량과 크레인 양중능력을 검토하고 지상에 해체한 자재를 안전하게 내려놓을 장소는 확보 되었는지 확인하고 관리감독자를 작업현장에 배치하여야 한다.,가설구조물,점검 사항
크레인 인양고리는 발판의 균형이 잘 맞는 지점에 연결하고 신호수는 발판을 해체하여 하강 시 간섭이 될 만한 곳이 있는지 확인하여야 한다.,가설구조물,점검 사항
절단작업의 경우 불꽃·불티 비산방지 방염포 설치와 소화기를 비치하여야 한다.,가설구조물,예방 조치
해체 작업자는 안전대를 착용하고 해체 작업중에 건물 외부로 노출되는 작업자가 있는지 확인하고 해체 작업장 하부는 근로자가 있는지 확인을 하여야 한다.,가설구조물,점검 사항
모든 도구 및 자재는 중량물이므로 취급 시 주의하여야 한다.,가설구조물,위험 경고
"공사현장의 제반 여건과 구조물의 형상을 파악한 후 슬립폼의 설치, 슬립업, 해체작업 등 단계별 안전작업 방법 순서, 장비에 대한 안전조치 사항 등 이 포함된 작업계획을 수립하여야 한다.",가설구조물,예방 조치
"슬립폼에 작용하는 하중을 고려하여 슬립폼의 안전성 여부를 검토하여야 하며, 로드(Rod)와 유압잭은 거푸집 자중, 작업하중, 장비 등에 충분한 강 도를 갖도록 그 수량 및 용량을 결정하여야 한다.",가설구조물,예방 조치
작업계획서는 슬립폼 공법에 풍부한 경험과 지식을 갖춘 사람이 수립하여야 하며 공사 중 계획서의 내용이 제대로 이행되는지의 여부를 수시로 확인할 수 있도록 하여야 한다.,가설구조물,점검 사항
공사 목적구조물의 위치에 대한 지질조사 및 주변 지장물 조사를 실시 하고 슬립폼 조립에 필요한 가설전기 설치위치와 연약지반일 경우 기초 가 시설 설치 등의 사항에 대한 사전 검토를 철저히 하여야 한다,가설구조물,점검 사항
"구조물의 평면 배치에 따른 양중기 설치 위치를 우선 선정하고, 이에 따른 타워크레인 등의 설치계획 수립과 건설용 리프트의 설치 대수, 위치 설정 계획 등을 포함하여 수립하여야 한다.",가설구조물,예방 조치
이동식 크레인을 사용하여 설치?해체 등을 하는 때에는 이동식 크레인의 전도를 방지하기 위하여 충분한 넓이와 지내력이 확보된 작업장을 형성하여야 한다.,가설구조물,예방 조치
"철근 조립, 콘크리트 타설, 슬립업 등 작업공종별 투입인원 및 시기 등을 반영한 작업계획을 수립하여야 한다.",가설구조물,예방 조치
가설전기 시설은 정전을 대비하여 비상발전 계획을 수립하여야 한다.,가설구조물,예방 조치
각 작업대 단부에는 근로자의 추락 등에 의한 위험을 방지하기 위한 안전난 간을 설치하여야 하며 안전난간대는 지름 2.7 cm 이상의 금속재 파이프나 그 이 상의 강도를 가진 재료로서 가장 취약한 지점에서 가장 취약한 방향으로 작용하는 100 kg 이상의 하중에 견딜 수 있는 튼튼한 구조이어야 한다. 또한 안전난간 하부에는 낙하물을 방지하기 위한 발끝막이판(Toe board)을 설치하여야 한다.,가설구조물,예방 조치
"각 작업대 사이에는 계단, 사다리 등 안전한 승강통로를 설치하며, 사다리를 설치할 경우 추락방지용 등받이를 설치하여야 한다.",가설구조물,예방 조치
"슬립업을 시작한 이후 설치하는 전기시설, 건설용 리프트 등은 정확한 위치 를 확보하여 간섭되지 않도록 하여야 한다.",가설구조물,예방 조치
슬립폼 부재 조립 시는 볼트 체결상태를 반드시 확인하여야 한다.,가설구조물,점검 사항
통로 주변은 자재가 적치되지 않도록 크레인 등의 양중기 작업반경내에 자재 야적장을 별도로 확보하여야 한다.,가설구조물,예방 조치
각각의 작업대에는 화재를 대비하여 소화기를 비치하여야 한다.,가설구조물,예방 조치
"작업시작 전 작업방법, 작업순서 및 안전조치사항을 근로자에게 주지시켜야 한다.",가설구조물,예방 조치
"콘크리트 타설은 균일하게 20～30 cm 높이로 하며, 거푸집 내부에는 콘크리트 가 항상 일정 높이에 있도록 유지하고, 작업대 위에 남겨진 콘크리트가 경 화되어 거푸집 내부로 밀려들어가지 않도록 작업대와 분배기는 항상 청결한 상태를 유지하여야 한다.",가설구조물,예방 조치
콘크리트는 콘크리트 분배용 슈트를 사용하여 타설 하고 콘크리트가 작업장 내에 튀지 않도록 주의하여 주입하여야 한다.,가설구조물,예방 조치
콘크리트를 상부로 운반할 경우에는 상?하부에 신호수를 배치하여야 하며 무전기 등을 이용하여 장비 운전원 등과 직접 교신을 하여야 한다.,가설구조물,예방 조치
콘크리트 운반 시 잔재물 낙하에 대비하여 작업반경 내 근로자의 출입을 금지시켜야 한다.,가설구조물,위험 경고
 철근 조립작업 시 발생되는 개구부 등에는 방호조치를 하여야 하며 작업자는 안전대를 착용하고 작업하는 등 추락방지 조치를 하여야 한다.,가설구조물,예방 조치
야간작업이 예상되는 경우에는 모든 작업대에는 조명 설비를 설치하여 75 럭스(Lux) 이상의 조도를 확보하여야 한다.,가설구조물,예방 조치
동절기에 콘크리트 양생을 위해 갈탄 또는 열풍기를 사용할 경우에는 질식 재해 예방을 위하여 환기 등은 「산업안전보건기준에 관한 규칙」 제619조(밀폐공간 보건 작업 프로그램 수립·시행 등) 내지 제645조(안전대 등)의 조치를 하여야 한다.,가설구조물,예방 조치
"슬립업 작업 전에 콘크리트의 경화 깊이를 측정하고 탈형 후 콘크리트가 부담 하는 전(全) 하중과 콘크리트가 발휘하여야 하는 압축강도, 품질, 시공조건 등을 고려하여 슬립폼의 슬립업 속도를 결정하여야 한다.",가설구조물,예방 조치
슬립업은 전체 거푸집이 동시에 이동될 수 있도록 하여야 하며 각 유압잭이 균등하게 작동하는지 관찰하여야 한다.,가설구조물,점검 사항
슬립폼은 허용오차 범위 이상의 변형이 발생하지 않도록 하여야 한다.,가설구조물,예방 조치
작업대는 거푸집과 동시에 이동이 가능하도록 거푸집에 직접 연결하여야 한다.,가설구조물,예방 조치
"슬립폼은 인양을 시작하기 전에 거푸집의 경사도와 수직도를 검사하여야 하며, 시공 중에는 최소 4 시간 이내마다 실시하여야 한다.",가설구조물,점검 사항
슬립업 중에도 각 작업대 부재 이음부의 볼트 체결 및 이음 상태를 수시로 점검하여야 한다.,가설구조물,점검 사항
"작업시작 전 작업방법, 작업순서 및 안전조치사항을 근로자에게 주지시켜야 한다.",가설구조물,예방 조치
부재 인양 시는 신호수를 배치하고 신호 규정을 준수하여야 한다.,가설구조물,예방 조치
고소작업을 피해 부재는 가급적 지상으로 내려 해체하고 작업반경 내에는 출입금지조치를 하여야 한다.,가설구조물,위험 경고
상부에서 부재를 용단하는 작업을 하는 경우 불꽃 비산방지 시설을 설치하 여야 한다.,가설구조물,예방 조치
상부 부재 해체작업에 따라 발생되는 개구부는 방호조치를 철저히 하고 개구부 방호조치가 곤란할 경우 안전대 부착설비를 설치하고 작업자에게 안전대를 착용토록 하여야 한다.,가설구조물,점검 사항
기계운전자는 기계는 작업전에 모두 정비하고 운전시 안전수칙을 준수하여야 한다.,공통,예방 조치
기계운전자는 기계의 후진시에는 경고음이나 경광등이 작동될 수 있도록 조치를 하여야 한다.,공통,예방 조치
"기계운전자는 현장의 상황, 통행차량현황, 부근작업 현황을 확인함과 동시에 위험개소의 유무와 위급사항을 파악해 두어야 한다.",공통,위험 경고
"기계운전자는 건설기계의 진행방향 5m, 좌우 양측 2m이내에 근로자가 있는 경우에는 반드시 경적을 울리는 등의 조치를 하여야 한다.",공통,예방 조치
기계운전자는 급하게 전?후진 및 급선회를 하지 않아야 한다.,공통,예방 조치
"기계운전자는 기계를 주차할 때에는 비탈길 등의 경사지나 붕괴되기 쉬운 지반 등을 피하며, 반드시 제동 확인후 받침목을 설치하여야 한다.",공통,예방 조치
"기계운전자는 야간에는 가능한 한 차량통행이 빈번한 도로상에 주차시키지 않도록 하되, 부득이하게 주차를 하는 경우에는 주변에 휀스 또는 차량유도등으로 표시하여야 한다.",공통,예방 조치
기계의 주행작업중에는 기계의 작업범위내에 들어가지 않도록 하여야 한다.,공통,예방 조치
근접작업 근로자는 작업의 성질상 근접작업을 해야 할 경우에는 사전에 관리감독자에게 보고하여 작업방법의 지시를 받아야 한다.,공통,예방 조치
근접작업 근로자는 관리감독자 또는 유도자의 신호에 따라야 한다.,공통,예방 조치
근접작업 근로자는 아스팔트 콘크리트의 고열에 화상을 입지 않도록 주의하여야 한다.,공통,예방 조치
관리감독자는 기계 주행작업중에는 그 작업 범위내에 근로자를 출입시키지 않도록 하여야 한다.,공통,예방 조치
"관리감독자는 부득이하게 근접작업이 필요한 때에는, 근로자에게 근접작업시 필요한 주의와 작업방법을 사전에 주지시켜야 한다.",공통,예방 조치
관리감독자는 유도자를 배치하여 호각 또는 수신호등의 정해진 신호방법에 의해 근로자의 대피 및 기계 후진작업 등을 실시하여야 한다.,공통,예방 조치
